907 860
360 454 -638
388 235 667
815 407 600
112 305 -25
139 822 659
573 702 859
6 571 -871
321 785 -267
225 740 -883
720 403 -517
495 712 772
9 691 -391
578 38 912
75 122 -421
302 414 378
810 769 -114
500 29 51
466 574 568
391 903 71
516 42 -77
528 814 -661
585 411 -776
644 883 770
284 315 67
140 487 -760
22 574 -134
905 798 -357
18 418 7
719 377 -515
571 271 657
328 124 937
863 849 -508
694 148 -88
293 716 619
430 581 491
239 862 -171
840 684 649
560 133 -974
415 342 -889
408 364 -648
806 224 -159
286 660 -569
230 759 -811
803 418 -276
258 672 353
359 371 700
558 237 -991
200 50 -41
752 536 -473
651 129 -845
361 867 -684
674 784 248
548 514 -147
458 649 -431
902 901 824
471 878 130
907 49 -519
883 673 -105
416 817 -136
719 652 223
836 49 -342
866 851 283
565 172 -309
437 85 937
295 439 250
454 874 73
590 224 444
849 845 -681
637 616 -33
620 75 198
631 370 -775
635 648 597
148 35 -569
816 803 914
732 441 -830
240 640 268
854 115 522
728 548 -242
184 268 974
808 17 348
4 67 -763
252 558 -615
403 695 -810
319 67 -866
395 394 -212
426 872 264
130 381 958
789 166 -792
59 83 -890
823 170 -28
57 320 66
897 153 -769
146 893 -473
115 604 -416
69 452 993
736 819 624
227 668 717
655 82 -178
630 674 691
907 726 901
712 800 781
574 463 86
427 488 87
244 232 879
294 760 -546
791 231 595
478 307 568
448 57 880
697 31 -962
283 192 321
828 4 653
589 896 -835
527 655 -689
125 869 820
539 409 -476
68 512 969
375 779 -427
697 506 -785
431 323 208
68 649 592
456 613 -539
701 617 104
136 60 -231
172 574 -728
284 587 742
888 689 903
719 117 705
69 846 -92
114 1 589
110 710 -343
332 796 231
635 734 -336
702 859 158
482 99 -280
182 874 -248
859 515 268
811 692 -400
130 786 497
195 347 582
88 739 -961
824 154 44
318 228 367
763 610 -595
74 418 -410
472 211 40
659 553 -177
675 897 -432
640 601 326
356 350 13
887 369 41
859 496 -377
615 149 -375
542 519 -24
545 853 -329
159 198 20
13 837 -796
524 349 -940
317 81 -705
180 869 624
566 446 500
588 755 315
317 143 -548
877 704 4
176 638 628
74 765 -907
88 325 233
831 771 881
795 456 -695
188 73 211
42 349 676
56 347 -939
716 259 -285
624 538 -708
247 452 -630
22 326 818
44 171 -943
743 136 993
867 643 210
835 646 -868
348 241 468
381 816 200
145 388 666
583 566 -943
886 720 -978
736 289 955
553 696 -155
664 285 794
178 602 -562
348 877 -391
449 254 586
522 685 -401
582 150 -184
165 52 -45
73 261 298
259 332 824
25 3 -790
413 502 -271
631 676 1000
720 547 525
75 351 -992
327 621 -493
99 598 -121
373 83 587
456 652 180
