958 2528
835 42 1000
582 110 666
229 392 575
723 741 133
345 375 910
850 111 100
718 479 635
591 344 137
113 922 767
435 899 812
20 917 395
607 190 728
799 802 993
182 280 780
380 399 28
757 46 516
171 276 4
356 549 104
360 817 251
925 120 357
461 271 104
52 614 640
755 96 107
322 789 288
458 333 459
778 17 505
768 114 486
510 480 703
110 893 34
467 825 598
646 767 316
907 279 733
270 40 357
50 201 661
827 323 722
589 331 36
124 765 245
871 698 455
709 417 47
846 557 753
398 220 560
422 452 962
260 293 821
230 922 844
177 249 494
929 66 981
189 548 903
954 569 903
495 586 13
705 607 571
906 436 26
113 510 224
759 271 399
471 389 33
479 526 629
864 793 470
8 763 286
431 720 361
338 579 613
419 665 887
239 805 732
98 711 915
620 439 906
820 417 938
158 692 374
780 574 75
719 419 451
773 537 906
755 896 300
439 706 941
17 520 908
863 76 693
575 254 863
872 642 865
322 951 406
952 196 223
159 654 373
676 915 129
572 619 664
853 927 648
910 213 283
216 807 76
562 368 699
625 229 763
297 221 262
789 573 480
697 609 753
165 942 735
361 276 883
30 404 767
673 400 555
591 795 857
80 616 33
38 760 596
594 878 531
514 860 94
929 354 750
443 786 878
947 205 830
571 40 524
112 454 359
889 688 141
551 571 808
689 261 979
615 8 597
99 214 62
571 218 948
317 895 66
168 403 928
530 357 900
869 958 299
39 231 675
17 141 515
811 142 854
207 153 21
248 249 971
858 696 286
323 917 964
479 567 891
607 409 98
553 327 940
310 377 439
898 212 438
271 430 871
933 27 833
285 910 401
6 206 798
388 50 498
717 547 231
427 925 219
843 615 466
314 145 619
612 149 500
16 11 729
737 493 405
930 633 341
179 154 288
272 791 423
195 751 637
677 495 114
91 871 121
70 598 385
124 432 909
448 433 544
460 528 260
271 626 724
178 400 340
479 719 169
947 190 687
875 628 769
2 542 970
883 281 141
355 59 153
686 643 117
399 613 112
582 9 233
40 346 832
438 13 102
812 32 296
424 321 735
432 350 167
194 839 722
949 347 708
426 774 921
87 873 27
353 483 821
837 395 213
738 903 891
170 852 71
472 751 470
122 831 567
677 164 454
570 510 700
802 128 308
227 2 999
716 286 443
424 654 560
895 275 338
154 714 613
48 26 142
32 719 594
53 108 129
17 938 544
841 470 777
878 695 355
910 422 543
662 819 715
802 651 101
57 774 66
14 938 282
886 870 640
565 203 412
496 950 563
143 376 319
829 110 305
421 803 247
918 513 451
252 168 963
786 311 365
823 923 329
292 93 258
773 921 524
669 686 806
776 430 301
864 442 822
135 433 744
559 752 782
69 191 632
940 316 199
935 311 818
414 56 614
134 226 622
9 881 198
312 752 675
396 617 37
153 517 755
663 493 466
838 160 159
779 810 114
923 167 958
140 736 154
918 360 825
735 821 386
691 270 122
664 374 204
24 665 649
282 824 917
654 550 373
237 947 678
42 355 18
759 526 826
153 696 533
181 679 69
217 667 857
877 615 62
890 317 827
518 459 813
667 523 85
585 851 522
702 222 561
798 935 23
597 894 642
800 468 10
259 374 750
349 916 193
958 816 829
112 605 558
238 886 597
161 85 137
594 391 79
671 882 150
640 171 51
807 609 365
219 362 578
394 866 957
213 652 662
824 65 239
23 441 195
337 452 839
315 29 688
785 865 387
840 293 235
957 81 582
357 145 370
250 423 970
527 867 260
379 270 649
536 409 524
857 82 617
500 515 793
86 495 576
177 157 894
733 620 2
48 729 887
148 185 431
82 283 165
938 922 754
420 613 791
822 778 609
272 648 437
557 205 79
808 62 374
632 70 114
525 142 49
53 610 687
438 349 72
891 690 847
255 924 510
865 397 513
122 704 311
944 480 96
876 48 5
77 163 702
110 4 694
142 143 422
331 826 564
66 609 936
165 912 196
715 704 390
941 396 707
274 736 866
544 241 494
482 297 689
98 713 682
880 855 236
907 814 707
491 741 599
370 690 986
369 493 391
247 72 740
406 1 879
71 808 392
682 313 911
286 788 227
442 798 163
606 221 485
288 823 729
106 533 526
943 661 158
154 223 963
44 263 621
431 873 334
280 8 628
446 592 331
862 938 970
936 92 511
300 728 659
371 479 666
135 868 322
306 734 590
246 849 517
169 172 232
124 430 83
211 577 698
43 567 661
687 609 990
529 563 371
331 663 486
917 491 379
32 709 363
848 732 463
36 21 826
761 607 323
79 170 865
875 372 749
244 331 552
101 772 633
738 802 978
314 556 910
678 213 635
767 256 951
507 72 401
566 773 166
19 808 414
326 684 280
648 558 953
416 297 571
523 683 387
346 866 307
916 44 97
143 597 831
813 843 802
324 480 748
166 575 498
703 617 992
886 321 216
23 729 19
869 120 121
667 537 10
199 487 688
485 79 221
864 148 838
730 925 718
379 462 301
487 753 396
816 80 708
929 57 384
614 918 418
615 396 551
37 309 100
745 33 290
43 474 180
578 954 341
718 618 627
127 334 982
851 714 541
151 541 440
384 405 201
644 711 378
452 734 319
837 41 111
90 653 911
70 256 69
874 464 655
353 4 90
899 605 137
193 922 892
666 729 972
831 806 731
69 833 166
549 114 14
409 550 322
612 262 69
792 219 583
819 219 734
438 895 376
53 260 312
167 736 487
854 814 216
181 239 841
533 881 877
295 856 25
64 952 996
481 856 976
843 703 53
709 336 952
674 109 879
114 570 632
695 612 894
14 201 534
884 409 342
654 130 560
958 95 935
937 190 469
725 420 92
666 154 440
90 542 570
243 197 907
373 276 132
355 823 680
857 30 943
633 380 344
707 394 822
162 122 290
339 56 707
639 458 657
955 802 342
80 730 7
523 112 28
290 439 353
753 220 567
617 530 790
732 227 597
850 260 409
301 269 294
725 134 101
173 128 262
717 758 590
900 699 272
653 626 691
466 649 544
781 833 966
154 528 572
43 912 596
758 480 817
608 915 988
474 799 773
651 869 962
529 938 238
831 76 898
711 831 606
221 922 217
53 197 794
590 420 82
671 598 360
512 468 730
772 350 678
368 257 680
650 920 38
877 730 980
540 223 172
477 905 493
224 714 349
928 361 787
812 879 486
583 726 852
778 888 737
598 430 459
909 365 359
18 716 697
74 768 359
796 505 419
826 189 41
404 197 193
655 299 149
733 666 679
788 897 610
38 870 6
385 32 493
931 692 186
330 39 380
130 185 215
140 686 107
933 812 869
882 637 857
829 939 49
337 936 434
145 128 884
785 563 641
96 64 772
835 905 373
91 532 699
210 372 824
195 624 475
122 133 208
441 617 969
110 711 23
426 384 543
598 611 937
916 534 905
937 487 85
201 914 797
729 50 900
87 540 142
95 676 517
674 90 432
320 505 426
841 743 581
652 675 663
132 700 687
619 627 300
863 152 518
634 537 145
468 841 412
740 753 533
133 761 444
360 211 980
22 252 398
646 90 173
954 826 530
177 789 66
830 336 227
958 839 536
879 248 148
568 635 695
924 747 707
392 54 694
841 24 416
123 733 299
331 188 739
833 809 95
271 424 544
576 846 340
844 391 18
489 438 415
110 843 923
706 415 113
451 635 774
73 145 81
341 382 978
30 25 629
877 798 437
474 892 793
125 405 695
392 351 122
239 333 702
736 121 288
344 135 471
711 698 471
47 400 847
579 540 236
682 760 794
927 774 924
44 187 794
135 834 372
265 773 141
84 680 365
509 61 232
117 603 654
269 162 70
183 617 466
640 271 249
629 916 841
6 725 78
102 936 364
633 467 269
358 548 867
61 714 853
825 146 88
686 578 608
771 643 444
85 15 508
410 408 596
56 73 392
476 674 177
126 582 818
894 564 219
463 327 461
348 730 125
562 725 974
573 121 578
187 199 17
244 664 108
727 737 772
939 87 203
204 349 884
901 2 778
123 879 560
740 897 462
500 306 3
701 58 208
295 948 582
841 368 830
424 320 668
823 169 311
45 199 667
424 545 774
680 650 866
560 516 492
80 349 728
865 677 981
213 889 786
229 35 551
311 441 728
871 50 702
833 414 87
109 761 639
168 654 646
721 439 105
269 469 745
62 408 542
294 821 100
683 233 558
194 355 391
607 152 622
532 160 335
819 557 602
138 782 33
229 87 164
633 593 785
280 759 848
692 879 585
851 769 473
377 335 72
714 388 992
872 566 787
143 254 119
424 297 849
207 846 669
321 15 489
367 516 29
477 461 515
671 483 845
621 77 797
66 800 238
356 923 52
592 64 255
318 417 548
439 14 907
656 494 533
500 759 412
579 89 129
534 652 145
949 930 815
524 307 948
360 812 316
585 446 89
66 344 27
821 166 129
887 567 761
542 329 724
60 708 543
112 484 143
623 528 662
214 56 872
754 130 924
4 946 827
612 669 50
427 581 883
538 545 464
884 597 637
619 881 41
22 88 564
601 135 368
117 612 986
663 295 994
469 236 93
575 514 442
748 917 459
442 246 48
152 217 989
211 188 139
771 871 26
134 816 79
544 958 65
913 826 717
815 909 441
141 227 791
224 569 115
413 64 231
848 501 804
461 414 260
886 330 661
132 867 629
447 40 136
216 754 364
804 665 284
289 111 644
751 9 212
100 186 352
887 682 226
705 488 976
182 735 680
443 703 291
795 503 530
862 537 780
611 771 677
47 565 781
245 638 767
55 786 299
505 65 418
867 77 321
300 612 40
885 858 874
62 515 157
864 193 698
661 322 952
849 877 326
787 809 627
511 317 505
116 276 634
49 430 152
60 857 695
348 179 79
129 275 735
596 761 963
543 840 232
908 242 913
818 414 963
482 5 613
747 355 749
633 330 899
770 341 495
162 836 485
17 889 992
521 289 555
125 751 343
373 312 55
719 3 677
155 733 623
585 498 769
393 603 383
508 22 519
339 415 962
300 850 390
746 239 515
432 485 878
586 432 242
337 105 788
581 340 468
283 904 619
369 718 23
635 706 82
427 810 598
75 308 781
406 621 105
112 941 137
815 226 161
213 308 839
579 537 804
708 314 265
250 57 549
916 834 119
91 35 396
917 670 146
502 140 675
638 101 509
82 29 581
255 240 167
291 778 32
187 426 573
6 429 832
681 8 877
8 570 255
733 928 755
16 821 853
915 59 265
290 57 648
478 24 403
599 882 432
414 178 87
843 612 928
654 469 293
132 616 131
604 485 238
831 97 462
563 168 28
554 367 83
105 468 420
809 506 406
554 953 682
135 681 703
299 306 988
214 641 803
296 490 430
44 673 928
754 715 716
453 126 583
155 349 999
641 351 760
797 501 411
556 921 628
429 538 99
799 722 915
767 261 414
215 216 284
484 204 577
161 255 702
303 357 941
658 490 337
494 360 958
520 140 807
110 143 966
667 652 770
107 545 938
871 536 527
417 565 26
171 608 881
26 766 471
786 352 298
15 184 800
193 145 883
726 332 234
474 329 915
581 926 220
568 581 943
738 186 770
928 531 849
181 597 524
579 162 457
163 586 712
741 541 588
338 526 800
563 55 274
88 92 846
494 63 780
486 80 831
522 98 158
338 930 923
270 192 334
165 342 334
663 572 12
496 939 897
881 944 896
154 70 313
1 733 597
815 405 708
203 65 213
513 221 427
760 889 396
329 355 711
844 165 846
755 279 312
613 254 582
47 20 899
824 31 20
389 404 995
95 865 416
671 113 563
615 767 714
273 893 725
255 424 34
807 431 132
761 791 575
149 745 782
78 267 704
160 476 101
344 317 117
792 120 599
584 907 596
525 17 744
932 864 971
155 530 473
214 216 567
781 155 606
214 433 718
942 590 384
485 810 571
608 290 915
266 377 217
97 942 696
553 358 669
535 79 849
282 571 123
152 854 139
863 57 872
392 937 24
261 257 386
296 766 99
339 1 218
576 879 762
111 900 805
38 90 345
150 330 479
160 721 691
619 706 408
39 272 50
648 718 841
576 409 234
554 377 738
723 44 520
544 764 566
691 505 485
769 549 804
824 841 343
393 944 716
403 325 539
242 631 568
396 400 230
421 548 920
405 505 977
190 131 19
682 830 15
780 934 143
868 659 651
398 633 808
495 670 104
501 949 670
212 542 124
266 219 259
621 141 279
478 867 557
135 916 778
935 733 70
87 181 681
752 622 249
245 392 650
283 369 428
631 485 615
292 296 117
510 906 911
223 208 212
385 863 547
911 600 155
429 674 230
410 806 119
128 100 52
850 58 948
571 825 380
668 492 144
735 10 579
462 927 151
949 341 584
240 471 827
228 71 515
647 200 572
287 299 400
670 336 734
255 273 575
181 818 324
822 908 7
871 315 923
88 951 341
627 714 219
161 450 261
94 882 859
300 765 352
278 776 822
106 608 213
914 138 416
31 578 538
441 911 817
660 318 870
144 920 82
307 644 801
469 484 485
207 836 407
145 902 189
547 409 8
500 737 153
608 641 259
809 665 878
919 837 861
655 384 524
305 547 904
494 303 581
47 197 575
186 952 344
324 206 677
503 675 299
702 731 528
706 897 622
925 240 867
282 191 1
695 806 383
415 554 204
205 536 410
817 703 606
500 218 342
142 681 328
568 16 223
86 365 449
476 384 840
551 957 68
831 919 921
122 444 206
374 907 915
742 526 316
691 33 601
668 665 329
113 132 362
87 57 312
595 272 23
177 415 695
285 645 613
836 838 280
942 947 624
573 518 383
352 825 177
397 476 329
278 589 324
539 892 641
537 885 310
144 282 94
657 549 235
779 913 895
425 685 326
471 331 562
350 554 178
159 488 352
401 201 777
42 891 56
385 958 909
282 381 74
524 791 41
615 870 608
912 624 886
453 289 280
138 66 872
479 251 228
364 285 160
946 917 303
195 907 339
706 186 335
139 494 613
714 216 29
321 645 234
828 590 155
503 742 315
487 232 171
47 884 528
566 607 890
890 240 617
739 250 793
110 564 19
485 477 265
426 597 343
266 358 277
729 812 881
321 158 962
388 571 284
370 134 128
946 266 797
71 698 218
538 502 613
139 309 713
462 100 924
483 603 910
642 832 210
903 52 709
644 857 997
711 806 359
669 25 939
194 854 454
37 45 134
490 296 152
584 571 544
819 714 210
87 485 97
62 552 13
831 473 658
490 216 316
620 799 829
349 326 897
861 434 124
366 347 448
381 184 304
892 922 549
389 206 774
536 97 620
580 377 93
208 577 15
185 507 440
25 187 490
930 513 745
137 844 996
847 542 567
527 588 684
280 400 381
90 460 501
203 541 36
536 364 602
138 245 268
466 337 422
771 676 454
153 694 532
714 383 198
366 289 327
276 460 123
644 208 969
525 732 579
220 259 115
155 494 260
269 728 844
722 368 221
59 619 863
54 33 841
187 83 706
712 599 372
184 141 997
720 805 153
118 5 658
265 136 880
851 573 695
216 546 898
790 221 780
644 344 770
375 330 209
86 952 973
915 914 536
767 936 829
632 672 67
318 65 637
346 741 187
658 612 30
459 276 566
393 301 812
324 689 603
541 543 578
231 890 436
626 879 656
455 261 128
594 172 63
62 720 477
394 592 790
519 513 916
868 67 189
422 376 739
329 938 488
604 599 781
255 510 777
162 732 159
2 241 854
907 196 817
403 402 512
185 71 227
296 580 502
779 280 540
17 904 249
873 735 649
84 839 412
850 135 635
9 932 425
1 449 964
746 902 381
359 72 315
272 682 959
373 535 380
593 299 69
